1,4
2,4
3,4
4,4
5,4
6,4
7,4
8,4
9,4
10,4
11,8
12,8
13,8
14,8
15,8
16,8
17,8
18,8
19,8
20,8
21,13
22,13
23,13
24,13
25,13
26,13
27,13
28,13
29,13
30,13
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,7
42,7
43,7
44,7
45,7
46,7
47,7
48,7
49,7
50,7
51,12
52,12
53,12
54,12
55,12
56,12
57,12
58,12
59,12
60,12
61,2
62,2
63,2
64,2
65,2
66,2
67,2
68,2
69,2
70,2
71,6
72,6
73,6
74,6
75,6
76,6
77,6
78,6
79,6
80,6
81,10
82,10
83,10
84,10
85,10
86,10
87,10
88,10
89,10
90,10
91,15
92,15
93,15
94,15
95,15
96,15
97,15
98,15
99,15
100,15
101,5
102,5
103,5
104,5
105,5
106,5
107,5
108,5
109,5
110,5
111,11
112,11
113,11
114,11
115,11
116,11
117,11
118,11
119,11
120,11
121,14
122,14
123,14
124,14
125,14
126,14
127,14
128,14
129,14
130,14
131,3
132,3
133,3
134,3
135,3
136,3
137,3
138,3
139,3
140,3
141,9
142,9
143,9
144,9
145,9
146,9
147,9
148,9
149,9
150,9
